service	compose_files	ports	volumes	healthcheck	chain_dependencies	db_env	metrics_env
proxy-inspector-service	infra/docker/compose/docker-compose.services.yml,services/docker-compose.legacy.yml,services/proxy-inspector-service/docker-compose.yml	7631->7631/tcp	3	yes	CLOCK_SYNC_RPC_L1,CLOCK_SYNC_RPC_L2,CLOCK_SYNC_RPC_L3,GOVERNANCE_RPC_L1,GOVERNANCE_RPC_L2,GOVERNANCE_RPC_L3,L1_CHAIN_ID,L3_PARENT_L2_RPC,MONITOR_RPC_L1,MONITOR_RPC_L2,MONITOR_RPC_L3	AUTH_DB_PATH,GAS_ENGINE_DB_PASSWORD,NFT_DB_PATH,PIL_DB_PASSWORD	PROM_URL,GRAFANA_ENABLED,GRAFANA_URL,L3_CHALLENGER_METRICS_HOST_PORT,L3_GETH_METRICS_HOST_PORT,L3_METRICS_BATCHER_HOST_PORT,L3_METRICS_NODE_HOST_PORT,L3_METRICS_PROPOSER_HOST_PORT,PROMETHEUS_ENABLED,PROMETHEUS_URL
rbac-service	infra/docker/compose/docker-compose.services.yml,services/rbac-service/docker-compose.yml,services/docker-compose.legacy.yml	7640->7640/tcp	3	yes	CLOCK_SYNC_RPC_L1,CLOCK_SYNC_RPC_L2,CLOCK_SYNC_RPC_L3,L1_CHAIN_ID,MONITOR_RPC_L1,MONITOR_RPC_L2,MONITOR_RPC_L3,GOVERNANCE_RPC_L1,GOVERNANCE_RPC_L2,GOVERNANCE_RPC_L3,L3_PARENT_L2_RPC	AUTH_DB_PATH,GAS_ENGINE_DB_PASSWORD,NFT_DB_PATH,PIL_DB_PASSWORD	PROM_URL,GRAFANA_ENABLED,GRAFANA_URL,L3_CHALLENGER_METRICS_HOST_PORT,L3_GETH_METRICS_HOST_PORT,L3_METRICS_BATCHER_HOST_PORT,L3_METRICS_NODE_HOST_PORT,L3_METRICS_PROPOSER_HOST_PORT,PROMETHEUS_ENABLED,PROMETHEUS_URL
redis	apps/docker-compose.yml,infra/docker/compose/docker-compose.services.yml	6379->6379/tcp	1	yes	none	none	none
rewards-service	services/rewards-service/docker-compose.yml,infra/docker/compose/docker-compose.services.yml,services/docker-compose.legacy.yml	7602->7602/tcp	3	yes	CLOCK_SYNC_RPC_L1,CLOCK_SYNC_RPC_L2,CLOCK_SYNC_RPC_L3,L1_CHAIN_ID,MONITOR_RPC_L1,MONITOR_RPC_L2,MONITOR_RPC_L3,GOVERNANCE_RPC_L1,GOVERNANCE_RPC_L2,GOVERNANCE_RPC_L3,L3_PARENT_L2_RPC	AUTH_DB_PATH,GAS_ENGINE_DB_PASSWORD,NFT_DB_PATH,PIL_DB_PASSWORD	PROM_URL,GRAFANA_ENABLED,GRAFANA_URL,L3_CHALLENGER_METRICS_HOST_PORT,L3_GETH_METRICS_HOST_PORT,L3_METRICS_BATCHER_HOST_PORT,L3_METRICS_NODE_HOST_PORT,L3_METRICS_PROPOSER_HOST_PORT,PROMETHEUS_ENABLED,PROMETHEUS_URL
router-agent	docker-compose.agents.yml	none		no	none	none	none
rpc-forward-l1-29545	infra/docker/compose/docker-compose.services.yml,services/rpc-forward-l1-29545/docker-compose.yml,services/docker-compose.legacy.yml	29545->29545/tcp	3	yes	none	none	none
rpc-forward-l2-18547	infra/opstack/docker-compose.yml	18547->18547/tcp		no	none	none	none
secrets-health-service	infra/docker/compose/docker-compose.services.yml,services/docker-compose.legacy.yml,services/secrets-health-service/docker-compose.yml	7618->7618/tcp	3	yes	CLOCK_SYNC_RPC_L1,CLOCK_SYNC_RPC_L2,CLOCK_SYNC_RPC_L3,GOVERNANCE_RPC_L1,GOVERNANCE_RPC_L2,GOVERNANCE_RPC_L3,L1_CHAIN_ID,L3_PARENT_L2_RPC,MONITOR_RPC_L1,MONITOR_RPC_L2,MONITOR_RPC_L3,POLICY_REGISTRY_CHAIN_ID	AUTH_DB_PATH,GAS_ENGINE_DB_PASSWORD,NFT_DB_PATH,PIL_DB_PASSWORD	PROM_URL,GRAFANA_ENABLED,GRAFANA_URL,L3_CHALLENGER_METRICS_HOST_PORT,L3_GETH_METRICS_HOST_PORT,L3_METRICS_BATCHER_HOST_PORT,L3_METRICS_NODE_HOST_PORT,L3_METRICS_PROPOSER_HOST_PORT,PROMETHEUS_ENABLED,PROMETHEUS_URL
session-service	infra/docker/compose/docker-compose.services.yml,services/session-service/docker-compose.yml,services/docker-compose.legacy.yml	7643->7643/tcp	3	yes	CLOCK_SYNC_RPC_L1,CLOCK_SYNC_RPC_L2,CLOCK_SYNC_RPC_L3,L1_CHAIN_ID,MONITOR_RPC_L1,MONITOR_RPC_L2,MONITOR_RPC_L3,GOVERNANCE_RPC_L1,GOVERNANCE_RPC_L2,GOVERNANCE_RPC_L3,L3_PARENT_L2_RPC	AUTH_DB_PATH,GAS_ENGINE_DB_PASSWORD,NFT_DB_PATH,PIL_DB_PASSWORD	PROM_URL,GRAFANA_ENABLED,GRAFANA_URL,L3_CHALLENGER_METRICS_HOST_PORT,L3_GETH_METRICS_HOST_PORT,L3_METRICS_BATCHER_HOST_PORT,L3_METRICS_NODE_HOST_PORT,L3_METRICS_PROPOSER_HOST_PORT,PROMETHEUS_ENABLED,PROMETHEUS_URL
slashing-detection-service	infra/docker/compose/docker-compose.services.yml,services/docker-compose.legacy.yml,services/slashing-detection-service/docker-compose.yml	7620->7620/tcp	3	yes	CLOCK_SYNC_RPC_L1,CLOCK_SYNC_RPC_L2,CLOCK_SYNC_RPC_L3,GOVERNANCE_RPC_L1,GOVERNANCE_RPC_L2,GOVERNANCE_RPC_L3,L1_CHAIN_ID,L3_PARENT_L2_RPC,MONITOR_RPC_L1,MONITOR_RPC_L2,MONITOR_RPC_L3	AUTH_DB_PATH,GAS_ENGINE_DB_PASSWORD,NFT_DB_PATH,PIL_DB_PASSWORD	PROM_URL,GRAFANA_ENABLED,GRAFANA_URL,L3_CHALLENGER_METRICS_HOST_PORT,L3_GETH_METRICS_HOST_PORT,L3_METRICS_BATCHER_HOST_PORT,L3_METRICS_NODE_HOST_PORT,L3_METRICS_PROPOSER_HOST_PORT,PROMETHEUS_ENABLED,PROMETHEUS_URL
snapshot-service	infra/docker/compose/docker-compose.services.yml,services/docker-compose.legacy.yml,services/snapshot-service/docker-compose.yml	7624->7624/tcp	3	yes	CLOCK_SYNC_RPC_L1,CLOCK_SYNC_RPC_L2,CLOCK_SYNC_RPC_L3,GOVERNANCE_RPC_L1,GOVERNANCE_RPC_L2,GOVERNANCE_RPC_L3,L1_CHAIN_ID,L3_PARENT_L2_RPC,MONITOR_RPC_L1,MONITOR_RPC_L2,MONITOR_RPC_L3	AUTH_DB_PATH,GAS_ENGINE_DB_PASSWORD,NFT_DB_PATH,PIL_DB_PASSWORD	GRAFANA_ENABLED,GRAFANA_URL,L3_CHALLENGER_METRICS_HOST_PORT,L3_GETH_METRICS_HOST_PORT,L3_METRICS_BATCHER_HOST_PORT,L3_METRICS_NODE_HOST_PORT,L3_METRICS_PROPOSER_HOST_PORT,PROMETHEUS_ENABLED,PROMETHEUS_URL,PROM_URL
staking-service	infra/docker/compose/docker-compose.services.yml,services/docker-compose.legacy.yml,services/staking-service/docker-compose.yml	7601->7601/tcp	3	yes	CLOCK_SYNC_RPC_L1,CLOCK_SYNC_RPC_L2,CLOCK_SYNC_RPC_L3,GOVERNANCE_RPC_L1,GOVERNANCE_RPC_L2,GOVERNANCE_RPC_L3,L1_CHAIN_ID,L3_PARENT_L2_RPC,MONITOR_RPC_L1,MONITOR_RPC_L2,MONITOR_RPC_L3	AUTH_DB_PATH,GAS_ENGINE_DB_PASSWORD,NFT_DB_PATH,PIL_DB_PASSWORD	PROM_URL,GRAFANA_ENABLED,GRAFANA_URL,L3_CHALLENGER_METRICS_HOST_PORT,L3_GETH_METRICS_HOST_PORT,L3_METRICS_BATCHER_HOST_PORT,L3_METRICS_NODE_HOST_PORT,L3_METRICS_PROPOSER_HOST_PORT,PROMETHEUS_ENABLED,PROMETHEUS_URL
supply-service	infra/docker/compose/docker-compose.services.yml,services/supply-service/docker-compose.yml,services/docker-compose.legacy.yml	7614->7614/tcp	3	yes	CLOCK_SYNC_RPC_L1,CLOCK_SYNC_RPC_L2,CLOCK_SYNC_RPC_L3,L1_CHAIN_ID,MONITOR_RPC_L1,MONITOR_RPC_L2,MONITOR_RPC_L3,GOVERNANCE_RPC_L1,GOVERNANCE_RPC_L2,GOVERNANCE_RPC_L3,L3_PARENT_L2_RPC	AUTH_DB_PATH,GAS_ENGINE_DB_PASSWORD,NFT_DB_PATH,PIL_DB_PASSWORD	PROM_URL,GRAFANA_ENABLED,GRAFANA_URL,L3_CHALLENGER_METRICS_HOST_PORT,L3_GETH_METRICS_HOST_PORT,L3_METRICS_BATCHER_HOST_PORT,L3_METRICS_NODE_HOST_PORT,L3_METRICS_PROPOSER_HOST_PORT,PROMETHEUS_ENABLED,PROMETHEUS_URL
theme-service	infra/docker/compose/docker-compose.services.yml,services/theme-service/docker-compose.yml,services/docker-compose.legacy.yml	7634->7634/tcp	3	yes	CLOCK_SYNC_RPC_L1,CLOCK_SYNC_RPC_L2,CLOCK_SYNC_RPC_L3,L1_CHAIN_ID,MONITOR_RPC_L1,MONITOR_RPC_L2,MONITOR_RPC_L3,GOVERNANCE_RPC_L1,GOVERNANCE_RPC_L2,GOVERNANCE_RPC_L3,L3_PARENT_L2_RPC	AUTH_DB_PATH,GAS_ENGINE_DB_PASSWORD,NFT_DB_PATH,PIL_DB_PASSWORD	PROM_URL,GRAFANA_ENABLED,GRAFANA_URL,L3_CHALLENGER_METRICS_HOST_PORT,L3_GETH_METRICS_HOST_PORT,L3_METRICS_BATCHER_HOST_PORT,L3_METRICS_NODE_HOST_PORT,L3_METRICS_PROPOSER_HOST_PORT,PROMETHEUS_ENABLED,PROMETHEUS_URL
transfer-lifecycle-service	infra/docker/compose/docker-compose.services.yml,services/docker-compose.legacy.yml,services/transfer-lifecycle-service/docker-compose.yml	7605->7605/tcp	3	yes	CLOCK_SYNC_RPC_L1,CLOCK_SYNC_RPC_L2,CLOCK_SYNC_RPC_L3,GOVERNANCE_RPC_L1,GOVERNANCE_RPC_L2,GOVERNANCE_RPC_L3,L1_CHAIN_ID,L3_PARENT_L2_RPC,MONITOR_RPC_L1,MONITOR_RPC_L2,MONITOR_RPC_L3	AUTH_DB_PATH,GAS_ENGINE_DB_PASSWORD,NFT_DB_PATH,PIL_DB_PASSWORD	PROM_URL,GRAFANA_ENABLED,GRAFANA_URL,L3_CHALLENGER_METRICS_HOST_PORT,L3_GETH_METRICS_HOST_PORT,L3_METRICS_BATCHER_HOST_PORT,L3_METRICS_NODE_HOST_PORT,L3_METRICS_PROPOSER_HOST_PORT,PROMETHEUS_ENABLED,PROMETHEUS_URL
treasury-ai	services/treasury-ai/docker-compose.yml	7630->7630/tcp	1	yes	none	none	none
treasury-evidence	services/treasury-evidence/docker-compose.yml	none	1	no	RPC_L1	none	none
treasury-service	infra/docker/compose/docker-compose.services.yml,services/treasury-service/docker-compose.yml,services/docker-compose.legacy.yml	7628->7628/tcp	3	yes	CLOCK_SYNC_RPC_L1,CLOCK_SYNC_RPC_L2,CLOCK_SYNC_RPC_L3,L1_CHAIN_ID,MONITOR_RPC_L1,MONITOR_RPC_L2,MONITOR_RPC_L3,GOVERNANCE_RPC_L1,GOVERNANCE_RPC_L2,GOVERNANCE_RPC_L3,L3_PARENT_L2_RPC	AUTH_DB_PATH,GAS_ENGINE_DB_PASSWORD,NFT_DB_PATH,PIL_DB_PASSWORD	PROM_URL,GRAFANA_ENABLED,GRAFANA_URL,L3_CHALLENGER_METRICS_HOST_PORT,L3_GETH_METRICS_HOST_PORT,L3_METRICS_BATCHER_HOST_PORT,L3_METRICS_NODE_HOST_PORT,L3_METRICS_PROPOSER_HOST_PORT,PROMETHEUS_ENABLED,PROMETHEUS_URL
tx-index-service	infra/docker/compose/docker-compose.services.yml,services/tx-index-service/docker-compose.yml,services/docker-compose.legacy.yml	7625->7625/tcp	3	yes	CLOCK_SYNC_RPC_L1,CLOCK_SYNC_RPC_L2,CLOCK_SYNC_RPC_L3,L1_CHAIN_ID,MONITOR_RPC_L1,MONITOR_RPC_L2,MONITOR_RPC_L3,GOVERNANCE_RPC_L1,GOVERNANCE_RPC_L2,GOVERNANCE_RPC_L3,L3_PARENT_L2_RPC	AUTH_DB_PATH,GAS_ENGINE_DB_PASSWORD,NFT_DB_PATH,PIL_DB_PASSWORD	PROM_URL,GRAFANA_ENABLED,GRAFANA_URL,L3_CHALLENGER_METRICS_HOST_PORT,L3_GETH_METRICS_HOST_PORT,L3_METRICS_BATCHER_HOST_PORT,L3_METRICS_NODE_HOST_PORT,L3_METRICS_PROPOSER_HOST_PORT,PROMETHEUS_ENABLED,PROMETHEUS_URL
upgrade-orchestrator-service	infra/docker/compose/docker-compose.services.yml,services/upgrade-orchestrator-service/docker-compose.yml,services/docker-compose.legacy.yml	7623->7623/tcp	3	yes	CLOCK_SYNC_RPC_L1,CLOCK_SYNC_RPC_L2,CLOCK_SYNC_RPC_L3,L1_CHAIN_ID,MONITOR_RPC_L1,MONITOR_RPC_L2,MONITOR_RPC_L3,GOVERNANCE_RPC_L1,GOVERNANCE_RPC_L2,GOVERNANCE_RPC_L3,L3_PARENT_L2_RPC	AUTH_DB_PATH,GAS_ENGINE_DB_PASSWORD,NFT_DB_PATH,PIL_DB_PASSWORD	PROM_URL,GRAFANA_ENABLED,GRAFANA_URL,L3_CHALLENGER_METRICS_HOST_PORT,L3_GETH_METRICS_HOST_PORT,L3_METRICS_BATCHER_HOST_PORT,L3_METRICS_NODE_HOST_PORT,L3_METRICS_PROPOSER_HOST_PORT,PROMETHEUS_ENABLED,PROMETHEUS_URL
validator-service	infra/docker/compose/docker-compose.services.yml,services/docker-compose.legacy.yml,services/validator-service/docker-compose.yml	7600->7600/tcp	3	yes	RPC_L2,RPC_L3,CLOCK_SYNC_RPC_L1,CLOCK_SYNC_RPC_L2,CLOCK_SYNC_RPC_L3,GOVERNANCE_RPC_L1,GOVERNANCE_RPC_L2,GOVERNANCE_RPC_L3,L1_CHAIN_ID,L3_PARENT_L2_RPC,MONITOR_RPC_L1,MONITOR_RPC_L2,MONITOR_RPC_L3	AUTH_DB_PATH,GAS_ENGINE_DB_PASSWORD,NFT_DB_PATH,PIL_DB_PASSWORD	PROM_URL,GRAFANA_ENABLED,GRAFANA_URL,L3_CHALLENGER_METRICS_HOST_PORT,L3_GETH_METRICS_HOST_PORT,L3_METRICS_BATCHER_HOST_PORT,L3_METRICS_NODE_HOST_PORT,L3_METRICS_PROPOSER_HOST_PORT,PROMETHEUS_ENABLED,PROMETHEUS_URL
vault	infra/docker/liquidity-gravity/docker-compose.yml	8200->8200/tcp		yes	none	none	none
vector	infra/opstack/docker-compose.yml,infra/docker/compose/docker-compose.obs.yml	none	3	no	none	none	none
verification-service	infra/docker/compose/docker-compose.services.yml,services/docker-compose.legacy.yml,services/verification-service/docker-compose.yml	7630->7630/tcp	3	yes	CLOCK_SYNC_RPC_L1,CLOCK_SYNC_RPC_L2,CLOCK_SYNC_RPC_L3,GOVERNANCE_RPC_L1,GOVERNANCE_RPC_L2,GOVERNANCE_RPC_L3,L1_CHAIN_ID,L3_PARENT_L2_RPC,MONITOR_RPC_L1,MONITOR_RPC_L2,MONITOR_RPC_L3	AUTH_DB_PATH,GAS_ENGINE_DB_PASSWORD,NFT_DB_PATH,PIL_DB_PASSWORD	GRAFANA_ENABLED,GRAFANA_URL,L3_CHALLENGER_METRICS_HOST_PORT,L3_GETH_METRICS_HOST_PORT,L3_METRICS_BATCHER_HOST_PORT,L3_METRICS_NODE_HOST_PORT,L3_METRICS_PROPOSER_HOST_PORT,PROMETHEUS_ENABLED,PROMETHEUS_URL,PROM_URL
watchdog-agent	docker-compose.agents.yml	none		no	none	none	none
